"area","total_batches","total_adjustments","adjusted_batches","adjusted_batch_rate_pct","avg_adjustments_per_batch","total_adjustment_rank","adjusted_batch_rate_rank"
"Mezzanine","5404","1045","872","16.14","0.19","1","1"
"Skirt","2870","391","321","11.18","0.14","2","2"
"Polishes","4166","253","235","5.64","0.06","3","4"
"Acid/Corrosive","1163","111","95","8.17","0.10","4","3"
"Coatings","357","0","0","0.00","0.00","5","5"
"Lab","204","0","0","0.00","0.00","5","5"
"Powders","50","0","0","0.00","0.00","5","5"
